mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.2035658359527588,0.018435006677853364,0.07107901573181152,0.02627655199815017,5,1,2,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.3561643835616438,0.4235294117647059,0.27848101265822783,0.35272493599485916,0.05926568355302828,54,0.5853658536585366,0.6235294117647059,0.6961325966850829,0.6350092873694418,0.045943142383475064
0.2578147252400716,0.043742992803998286,0.06851760546366374,0.011151705019385064,5,1,2,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.4266666666666667,0.2891566265060241,0.23076923076923078,0.31553084131397385,0.08212044306119076,83,0.5903614457831325,0.6514285714285715,0.7135135135135136,0.6517678435750726,0.05027719347616195
0.5184229214986166,0.1020138000792292,0.11963725090026855,0.019305067351120097,5,1,2,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.4266666666666667,0.3373493975903614,0.16,0.30800535475234275,0.11082593684193061,91,0.631578947368421,0.6153846153846154,0.6815642458100558,0.6428426028543641,0.028167218795276665
0.15677475929260254,0.01907948978039468,0.0663454532623291,0.004202332766682491,5,1,5,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.39473684210526316,0.2962962962962963,0.22784810126582278,0.30629374655579406,0.06849780878982832,93,0.5590062111801242,0.6071428571428571,0.6779661016949152,0.6147050566726322,0.0488586671541421
0.2502248287200928,0.02609080610876198,0.06920774777730306,0.013163749506264625,5,1,5,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.4,0.2962962962962963,0.24390243902439024,0.31339957844022887,0.0648639798897394,88,0.5555555555555556,0.6198830409356725,0.6779661016949152,0.6178015660620478,0.04999556550182708
0.529732863108317,0.05509551368222234,0.11290216445922852,0.03465656509278524,5,1,5,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.4,0.2962962962962963,0.2077922077922078,0.30136283469616804,0.07855024381403489,96,0.6071428571428571,0.6153846153846154,0.6741573033707865,0.632228258632753,0.029838624177531026
0.15610035260518393,0.014844743754520754,0.050661961237589516,0.010249887523164216,5,1,10,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.37333333333333335,0.2857142857142857,0.20253164556962025,0.28719308820574646,0.06973733709828521,102,0.5375,0.5662650602409639,0.6551724137931034,0.5863124913446891,0.05008741600021438
0.3104714552561442,0.014120460405926702,0.09171589215596516,0.0118335227553117,5,1,10,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.4,0.3,0.2222222222222222,0.3074074074074074,0.07276623223847595,92,0.546583850931677,0.6035502958579881,0.6440677966101694,0.5980673144666117,0.039986057819907266
0.48509804407755536,0.04510361516377885,0.09708285331726074,0.021073470891613835,5,1,10,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.42105263157894735,0.3076923076923077,0.24691358024691357,0.3252195065060562,0.07216418466893243,74,0.5679012345679012,0.5818181818181818,0.6514285714285715,0.6003826626048848,0.03653933005150177
0.20237461725870767,0.021689007569070613,0.07076803843180339,0.012352574421566674,5,2,2,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.4,0.3855421686746988,0.2682926829268293,0.351278283867176,0.0589757842634335,55,0.6235294117647059,0.591715976331361,0.6815642458100558,0.6322698779687075,0.03719744340835369
